name,slug,segment,subsegment,address_line,city,province,postal_code,lat,lng,phone,website,hours_summary,accepting_new,wait_estimate,services,languages,accessibility,parking,transit_notes,source
Care Point Medical Centre — Commercial,carepoint-commercial,primary_care,walk_in,1623 Commercial Dr,Vancouver,BC,V5L 3Y3,49.2691,-123.0708,604-254-5554,https://carepointmedical.com/,"7 days, walk-in",,,"walk_in;primary_care","english;italian;spanish","wheelchair","Street parking","Near Commercial-Broadway",care_point_public_site
Care Point Medical Centre — Broadway,carepoint-broadway,primary_care,walk_in,700 W Broadway,Vancouver,BC,V5Z 1G6,49.2632,-123.1180,604-733-1331,https://carepointmedical.com/,"7 days, walk-in",,,"walk_in;primary_care","english;cantonese;mandarin","wheelchair","Lot parking","Near Broadway-City Hall SkyTrain",care_point_public_site
Denman Medical Clinic,denman-medical,primary_care,walk_in,1030 Denman St,Vancouver,BC,V6G 2M6,49.2883,-123.1395,604-669-1102,,"Mon–Sat walk-in",,,"walk_in;primary_care","english","wheelchair","Street parking","West End / Denman bus",public_listing
Stadium Medical Clinic,stadium-medical,primary_care,walk_in,777 Pacific Blvd,Vancouver,BC,V6B 4Y8,,,604-688-5060,,"Mon–Fri walk-in",,,"walk_in;primary_care","english","wheelchair","Paid lot parking","Near Stadium-Chinatown SkyTrain",public_listing
False Creek Medical Centre,false-creek-medical,primary_care,walk_in,555 W 12th Ave,Vancouver,BC,V5Z 3X7,,,604-877-1255,,"Mon–Fri walk-in",,,"walk_in;primary_care","english","wheelchair","Underground parking","Near Broadway-City Hall SkyTrain",public_listing
UBC Urgent Care Centre,ubc-urgent-care,primary_care,upcc,2211 Wesbrook Mall,Vancouver,BC,V6T 1Z3,49.2643,-123.2438,604-822-7121,https://www.vch.ca/en/location/ubc-hospital,"Open daily, hours vary",,,"urgent_care;primary_care","english","wheelchair","Lot parking","UBC Loop bus",vch_public_directory
Pacific Medical Walk-In Clinic — Robson,pacific-medical-robson,primary_care,walk_in,1180 Robson St,Vancouver,BC,V6E 1B2,,,604-685-1188,,"7 days, walk-in",,,"walk_in;primary_care","english;cantonese;mandarin","wheelchair","Paid lot parking","Robson / Bute bus",public_listing
Yaletown Medical Clinic,yaletown-medical,primary_care,walk_in,1296 Pacific Blvd,Vancouver,BC,V6Z 0E2,,,604-633-2474,,"Mon–Fri walk-in",,,"walk_in;primary_care","english","wheelchair","Underground parking","Near Yaletown-Roundhouse",public_listing
Coquitlam Centre Medical Clinic,coquitlam-centre-medical,primary_care,walk_in,2929 Barnet Hwy,Coquitlam,BC,V3B 5R5,,,604-941-3800,,"7 days, walk-in",,,"walk_in;primary_care","english;korean;mandarin","wheelchair","Mall parking","Coquitlam Central SkyTrain",public_listing
Richmond Medical & Walk-In Clinic,richmond-walk-in,primary_care,walk_in,8328 Capstan Way,Richmond,BC,V6X 4B6,,,604-273-3922,,"Mon–Sat walk-in",,,"walk_in;primary_care","english;cantonese;mandarin","wheelchair","Lot parking","Near Capstan SkyTrain",public_listing
